죄종별(1),죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
죄종별(1),죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,성년,미상
죄종별(1),죄종별(2),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
계,소계,1585638,65907,9028,11681,13503,14249,17446,1516477,20259,18026,118801,131970,123442,156540,155689,192774,184847,180686,116263,58659,58521,3254
강력범죄,소계,28943,2358,305,431,463,525,634,26550,693,509,3339,3150,2529,2720,2376,2842,2651,2381,1452,876,1032,35
강력범죄,살인기수,345,9,-,-,3,1,5,335,6,-,22,26,32,36,30,34,37,44,29,17,22,1
강력범죄,살인미수등,525,10,2,1,1,3,3,515,6,2,24,37,41,46,50,73,72,73,45,28,18,-
강력범죄,강도,1336,361,38,69,84,77,93,974,82,51,148,128,111,101,75,95,72,60,32,8,11,1
강력범죄,강간,6138,638,51,115,122,167,183,5489,226,167,1022,888,617,619,438,416,361,337,200,100,98,11
강력범죄,유사강간,895,140,14,25,24,36,41,754,30,35,144,103,96,54,75,62,50,44,31,12,18,1
강력범죄,강제추행,17892,981,159,168,179,207,268,16890,296,221,1837,1866,1529,1724,1559,1922,1841,1625,1008,655,807,21
강력범죄,기타 강간·강제추행등,495,120,10,26,23,25,36,375,25,23,55,40,32,48,27,32,28,27,19,9,10,-
강력범죄,방화,1317,99,31,27,27,9,5,1218,22,10,87,62,71,92,122,208,190,171,88,47,48,-
절도범죄,소계,101295,17111,4172,4388,3878,2626,2047,84099,1790,1431,7855,6625,5797,6980,6514,7995,8188,9554,7410,5216,8744,85
폭력범죄,소계,346561,19638,2475,3475,3598,4050,6040,326411,6694,5469,30327,26932,26441,35247,34605,42120,39082,36152,21766,10534,11042,512
폭력범죄,상해,48854,2493,291,420,423,573,786,46337,786,662,3988,3573,3723,4933,4919,6120,5686,5207,3259,1634,1847,24
폭력범죄,폭행,202710,7714,720,1108,1266,1654,2966,194749,3566,2946,17837,16270,15857,21487,21022,25246,23182,21778,13115,6242,6201,247
폭력범죄,체포·감금,1654,122,9,25,18,27,43,1523,67,62,160,152,133,151,138,174,165,161,86,43,31,9
폭력범죄,협박,22377,672,84,110,169,149,160,21661,175,180,1155,1403,1592,2325,2518,3230,3147,2832,1652,764,688,44
폭력범죄,약취·유인,351,20,3,-,2,6,9,318,5,6,30,30,42,55,41,24,16,27,8,12,22,13
폭력범죄,폭력행위등,28625,6450,1060,1393,1263,1204,1530,22067,1519,1106,4244,2533,2004,2142,1733,1985,1675,1485,867,422,352,108
폭력범죄,공갈,3552,1053,172,254,238,221,168,2487,110,100,282,197,223,240,262,295,302,235,130,64,47,12
폭력범죄,손괴,38438,1114,136,165,219,216,378,37269,466,407,2631,2774,2867,3914,3972,5046,4909,4427,2649,1353,1854,55
지능범죄,소계,308782,10652,751,1328,2238,2866,3469,297069,4413,4579,23966,22224,21580,29696,31959,41540,39780,37747,22351,9542,7692,1061
지능범죄,직무유기,788,-,-,-,-,-,-,680,7,1,8,51,54,86,106,117,134,95,13,1,7,108
지능범죄,직권남용,974,-,-,-,-,-,-,909,-,-,7,79,71,116,85,149,166,171,49,8,8,65
지능범죄,증수뢰,942,-,-,-,-,-,-,940,-,-,3,15,21,89,128,171,203,175,76,37,22,2
지능범죄,통화,143,21,-,1,6,9,5,122,7,2,10,8,3,7,3,7,57,7,4,3,4,-
지능범죄,문서·인장,16253,1307,20,118,186,473,510,14819,103,135,627,886,1004,1361,1558,1969,2041,2091,1396,774,874,127
지능범죄,유가증권인지,208,2,-,-,-,-,2,205,-,-,2,4,7,11,16,26,53,45,25,9,7,1
지능범죄,사기,246160,8049,607,1019,1758,2039,2626,237523,4021,4165,21675,19236,17926,24068,25651,33168,31349,29090,16578,6401,4195,588
지능범죄,횡령,35163,1272,124,190,288,345,325,33819,271,267,1579,1753,2202,3387,3570,4574,4436,4657,3189,1847,2087,72
지능범죄,배임,8151,1,-,-,-,-,1,8052,4,9,55,192,292,571,842,1359,1341,1416,1021,462,488,98
풍속범죄,소계,33779,1644,235,279,327,370,433,32093,389,335,2899,3409,2990,3256,2642,3074,3557,4199,2950,1432,961,42
풍속범죄,성풍속범죄,12473,1572,234,274,319,357,388,10871,316,254,1908,1937,1470,1353,1000,890,582,485,322,162,192,30
풍속범죄,도박범죄,21306,72,1,5,8,13,45,21222,73,81,991,1472,1520,1903,1642,2184,2975,3714,2628,1270,769,12
특별경제범죄,소계,79175,730,25,68,111,171,355,78118,718,664,4414,5718,6339,8937,9344,11516,10748,9876,5674,2394,1776,327
마약범죄,소계,9875,71,3,3,6,17,42,9799,91,119,936,1304,1227,1192,987,1136,888,629,371,258,661,5
보건범죄,소계,18024,25,-,4,2,4,15,17968,32,55,680,1391,1850,2159,2096,2413,2354,2308,1413,690,527,31
환경범죄,소계,5088,5,2,-,2,-,1,5070,7,8,77,110,184,436,579,768,971,928,570,275,157,13
교통범죄,소계,383717,7081,468,895,1597,1837,2284,376521,2785,2355,24290,37143,34613,39666,37243,44877,43187,44157,31654,17717,16834,115
노동범죄,소계,865,1,-,1,-,-,-,857,1,1,24,47,78,100,129,131,130,126,53,23,14,7
안보범죄,소계,545,-,-,-,-,-,-,541,7,15,188,130,60,55,19,24,11,22,5,1,4,4
선거범죄,소계,1180,-,-,-,-,-,-,1178,-,-,1,1,11,15,29,81,170,318,310,146,96,2
병역범죄,소계,11809,-,-,-,-,-,-,11809,89,96,4251,5922,995,240,27,46,72,44,23,3,1,-
기타범죄,소계,256000,6591,592,809,1281,1783,2126,248394,2550,2390,15554,17864,18748,25841,27140,34211,33058,32245,20261,9552,8980,1015
