지역별(1),지표별(1),지표별(2),2017,2018,2019,2020
대구광역시,인구,평균연령,42,42,43,-
대구광역시,인구,사망자수 (명),13629,14070,13752,-
대구광역시,인구,출생아수 (명),15946,14400,13233,-
대구광역시,인구,전출인구 (명),333118,335400,336092,364083
대구광역시,인구,전입인구 (명),321182,321158,312419,347248
대구광역시,인구,순이동인구 (명),-11936,-14242,-23673,-16835
대구광역시,인구,주민등록인구 (명),2475231,2461769,2438031,2418346
대구광역시,인구,합계출산율,1.067,0.987,0.932,-
대구광역시,인구,인구총조사 인구,2453041,2444412,2429940,-
대구광역시,인구,농가인구 (명),42395,39903,39239,-
대구광역시,인구,등록외국인 현황 (명),26442,28033,30191,-
대구광역시,가족,조이혼율,1.8,1.8,1.9,1.8
대구광역시,가족,이혼건수 (건),4380,4530,4655,4345
대구광역시,가족,혼인건수 (건),11392,10967,9880,8340
대구광역시,가족,조혼인율,4.6,4.5,4.1,3.5
대구광역시,건강,EQ-5D (점),0.963,0.968,0.959,-
대구광역시,건강,의료기관 수술인원 (명),69920,72021,75548,-
대구광역시,건강,스트레스 인지율 (%),25.5,23.3,25.1,-
대구광역시,건강,고위험음주율 (%),15.6,14.7,15.3,-
대구광역시,건강,결핵신고 신환자수 (명),1333,1219,1061,-
대구광역시,건강,흡연율 (%),20.8,21.7,19.8,-
대구광역시,건강,주관적 건강수준인지율 (%),41.9,40.5,41.6,-
대구광역시,건강,음주율 (%),60.9,61.5,58.6,-
대구광역시,건강,비만유병률 (%),-,31.3,32.5,-
대구광역시,교육,학급당 학생수 (명),24.25,23.61,23.04,22.5
대구광역시,교육,초등학교수 (개),228,229,229,230
대구광역시,교육,유치원 교원수 (명),3002,3023,2928,2828
대구광역시,교육,유치원수 (개),370,369,355,346
대구광역시,교육,유치원 원아수 (명),38936,38475,36185,35651
대구광역시,교육,초등학교 학생수 (명),124708,125160,126122,122587
대구광역시,교육,초등학교 교원수 (명),8900,9039,9013,8905
대구광역시,소득과 소비,소비자물가지수 (2015=100),103.06,104.85,105.55,105.86
