"신장별",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"신장별",계,서울,부산,대구·경북,경인,광주·전남,대전·충남,강원,충북,전북,경남,제주,인천,경기북부,강원영동
"계 (명)",323763,55189,27035,32239,46041,22314,24311,6104,9922,12280,21504,4347,35736,23064,3677
"137cm이하 (명)",5,-,1,1,-,-,-,-,-,-,1,-,2,-,-
"138-140cm (명)",3,-,1,-,1,1,-,-,-,-,-,-,-,-,-
"141-145cm (명)",13,2,1,2,1,-,1,-,-,-,2,-,4,-,-
"146-150cm (명)",49,6,7,4,1,4,3,1,2,2,5,1,7,4,2
"151-155cm (명)",408,51,33,45,43,41,25,7,17,15,34,10,49,29,9
"156-160cm (명)",3723,554,349,369,490,284,294,80,125,151,256,53,444,229,45
"161-165cm (명)",23415,3561,2048,2474,3243,1649,1746,457,808,931,1636,421,2575,1577,289
"166-170cm (명)",74672,12211,6243,7402,10429,5398,5724,1444,2371,2885,5116,1073,8264,5258,854
"171-175cm (명)",108837,18768,9002,11042,15767,7409,8232,2031,3286,4003,7063,1444,11952,7647,1191
"176-180cm (명)",77548,13673,6419,7508,10981,5268,5710,1441,2293,3028,5158,971,8549,5647,902
"181-185cm (명)",28226,5097,2297,2722,4128,1836,2104,523,829,1015,1817,315,3077,2160,306
"186-190cm (명)",5752,1060,510,568,813,378,386,97,167,198,344,49,679,439,64
"191-195cm (명)",650,122,46,75,79,32,51,12,19,34,48,2,74,51,5
"196-200cm (명)",57,12,5,1,9,3,6,2,1,-,4,1,11,2,-
"201cm이상 (명)",11,4,-,1,2,-,-,-,-,2,1,-,-,1,-
"기타 (명)",394,68,73,25,54,11,29,9,4,16,19,7,49,20,10
"평균 (cm)",173.8,174.0,173.7,173.6,173.6,173.6,173.7,173.6,173.5,173.7,173.6,173.0,173.7,173.9,173.6
"중앙치 (cm)",173.7,173.9,173.6,173.6,173.8,173.4,173.6,173.6,173.4,173.7,173.5,172.9,173.7,173.9,173.6
"최소값 (cm)",109.2,144.0,128.3,114.3,140.6,139.7,144.0,150.8,149.6,149.8,129.4,146.6,109.2,149.0,149.1
"최대값 (cm)",205.3,205.3,200.4,202.0,201.9,199.2,197.7,199.8,198.4,205.0,202.0,196.3,199.4,201.0,195.9
